epoch,train_loss,val_loss,monitor_loss,lr,seconds
1,0.0008995873925777064,0.0005057099293486066,0.0005057099293486066,0.0001,1892.5132501125336
2,0.0004829692801483892,0.0004163915247850662,0.0004163915247850662,0.0001,1890.7309093475342
3,0.0004055034463178062,0.0004052790019542441,0.0004052790019542441,0.0001,1938.7665255069733
4,0.00035657926341925856,0.0004032769453744784,0.0004032769453744784,0.0001,1942.6784904003143
5,0.0003204456495261326,0.000385856190405557,0.000385856190405557,0.0001,1943.8700261116028
6,0.00029387487732418694,0.00037780134950197856,0.00037780134950197856,0.0001,1950.0169134140015
7,0.00027620574418741743,0.00035041959480604625,0.00035041959480604625,0.0001,1953.6130516529083
8,0.00026275236034566855,0.0003594305793586236,0.0003594305793586236,0.0001,1942.9318356513977
9,0.0002522030001489809,0.00034140545188273926,0.00034140545188273926,0.0001,1947.5705432891846
10,0.00024367890420353745,0.0003379681474234672,0.0003379681474234672,0.0001,1949.1923353672028
11,0.00023676920722324405,0.0003422744254717509,0.0003422744254717509,0.0001,1891.127955198288
12,0.00023142340291188755,0.0003282913945735829,0.0003282913945735829,0.0001,1885.0274465084076
13,0.0002264549274710838,0.0003307105761258774,0.0003307105761258774,0.0001,1913.2599394321442
14,0.0002222605094539069,0.0003250332156240252,0.0003250332156240252,0.0001,1926.3280596733093
15,0.0002185880799587252,0.0003154291055752916,0.0003154291055752916,0.0001,1935.485912322998
16,0.00021651840634687449,0.000319291450687194,0.000319291450687194,0.0001,1929.0105698108673
17,0.00021224505218552422,0.00031398979973995994,0.00031398979973995994,0.0001,1931.6030056476593
18,0.00020942795394902677,0.0003154597096661496,0.0003154597096661496,0.0001,1928.0399947166443
19,0.00020701279973910842,0.0003109655039705131,0.0003109655039705131,0.0001,1921.1662924289703
20,0.00020499576680370056,0.00030946898977574224,0.00030946898977574224,0.0001,1880.6709911823273
21,0.0002026341386749883,0.0003054350921552824,0.0003054350921552824,0.0001,1898.2494535446167
22,0.0002005653698862145,0.00030492072456328884,0.00030492072456328884,0.0001,1931.1365747451782
23,0.00019883937491444703,0.00030453410442976716,0.00030453410442976716,0.0001,1927.9766643047333
24,0.00019676524980771597,0.00030132755228557567,0.00030132755228557567,0.0001,1935.393014907837
25,0.00019530177590807815,0.0003025265170750714,0.0003025265170750714,0.0001,1930.7878196239471
26,0.0001936405349438329,0.00030439296088020115,0.00030439296088020115,0.0001,1934.0264110565186
27,0.00019197224732048584,0.0003005732838393725,0.0003005732838393725,0.0001,1931.3407456874847
28,0.00019042330289022134,0.00029733616854361286,0.00029733616854361286,0.0001,1927.8258564472198
29,0.00018896086939193223,0.0002987456607949173,0.0002987456607949173,0.0001,1944.532948255539
30,0.0001876668884029035,0.00030018632914940785,0.00030018632914940785,0.0001,1932.0793614387512
